#Name,m/z [M-H]-,RT (s) approx,
#Name,,,
(R)-Lactate,89.0244,842.52,1
Fumarate,115.0039,1344.84,2
L-Valine,116.0717,1027.08,3
Isoleucine,130.0872,933.24,4
Leucine,130.0874,895.86,5
Lysine,145.0983,1578.54,6
Glutamate,146.0459,1219.74,7
Glycerone phosphate,168.9908,1273.08,8
Arginine,173.1044,1660.56,9
myo-Inositol,179.0561,1383.72,10
Mannitol,181.0718,1141.86,11
3-Phosho-D-glycerate,184.9857,1380.18,12
D-glucose 6-phosphate,259.0225,1353.48,13
Inosine,267.0723,916.32,14
N-Acetylneuraminate,308.0987,1132.14,15
AMP,346.0558,1101.36,16
